entitytype,authoritydoc,authoritydocconceptschemename
ADMINISTRATIVE SUBDIVISION TYPE.E55,ADMINISTRATIVE SUBDIVISION TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
ARCHAEOLOGICAL COMPONENT TYPE.E55,ARCHAEOLOGICAL COMPONENT TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
ARCHAEOLOGICAL HERITAGE (SITE) TYPE.E55,ARCHAEOLOGICAL HERITAGE (SITE) TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
ARCHAEOLOGICAL TECHNIQUE.E55,ARCHAEOLOGICAL TECHNIQUE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE.E55,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
COMPONENT CERTAINTY TYPE.E55,COMPONENT CERTAINTY TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
COMPONENT MEASUREMENT TYPE.E55,COMPONENT MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
CONDITION TYPE.E55,CONDITION AUTHORITY DOCUMENT.csv,EH SOURCE DATA
CULTURAL PERIOD.E55,CULTURAL PERIOD AUTHORITY DOCUMENT.csv,EH SOURCE DATA
EXTERNAL XREF TYPE.E55,EXTERNAL XREF TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
GEOMETRY QUALIFIER.E55,GEOMETRY QUALIFIER AUTHORITY DOCUMENT.csv,EH SOURCE DATA
INVESTIGATION TYPE.E55,INVESTIGATION TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
MATERIAL.E57,MATERIAL AUTHORITY DOCUMENT.csv,EH SOURCE DATA
MEASUREMENT TYPE.E55,MEASUREMENT TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
NAME TYPE.E55,NAME TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
PHASE TYPE ASSIGNMENT CERTAINTY TYPE.E55,PHASE TYPE ASSIGNMENT CERTAINTY TYPE AUTHORITY DOCUMENT.csv,EH SOURCE DATA
SUBJECT.E55,SUBJECT AUTHORITY DOCUMENT.csv,EH SOURCE DATA
TYPE OF DESIGNATION OR PROTECTION.E55,TYPE OF DESIGNATION OR PROTECTION AUTHORITY DOCUMENT.csv,EH SOURCE DATA
UNIT OF COMPONENT MEASUREMENT.E58,UNIT OF COMPONENT MEASUREMENT AUTHORITY DOCUMENT.csv,EH SOURCE DATA
UNIT OF MEASUREMENT.E58,UNIT OF MEASUREMENT AUTHORITY DOCUMENT.csv,EH SOURCE DATA